Headlines,Dates,Descriptions
Model S Has You Covered,"The Tesla Team, March 19, 2015","Most cars don't improve over time. By contrast, Model S gets faster, smarter, and better as time passes. With Tesla's regular over-the-air software updates, Model S actually improves while you sleep. When you wake up, added functionality, enhanced performance, and improved user experience make you feel like you are driving a new car. We want to improve cars in ways most people didn't imagine possible."
A Peace of Mind Guarantee,"The Tesla Team, March 11, 2015","We recognize that many European drivers prefer to lease their automobiles, personally or through their company, so we now offer the Tesla Resale Value Guarantee in all 11 European markets where we sell Model S."
"2,000 Superchargers","The Tesla Team, February 27, 2015","Last week Tesla reached a milestone of 2,000 Superchargers worldwide, located at almost 400 Supercharger Stations in North America, Europe, Asia, and Australia. Tesla Superchargers enable free long distance electric driving across the United States, and up and down the West and East Coasts. They connect the United Kingdom to continental Europe and stretch from the south of France to northern Norway, far up into the Arctic Circle."
Roadster Road Trip Update: San Jose to Los Angeles on a Single Charge,"The Tesla Team, February 13, 2015","The Roadster 3.0 package applies what we've learned from Model S to Roadster. No new Model S battery pack or major range upgrade is expected in the near term.On the one-year anniversary of Tesla’s Cross Country Rally, we set out to drive non-stop from San Jose to Los Angeles on a single charge in a prototype of the Roadster 3.0 upgrade."
Tesla Announces Release Date for Fourth Quarter and Full Year 2014 Financial Results,"January 29, 2015","PALO ALTO, Calif., January 29, 2015 – Tesla announces that it will post its financial results for the fourth quarter and full year ended December 31, 2014, after market close on Wednesday, February 11, 2015. At that time, Tesla will issue a brief advisory release containing a link to the Q4 and Full Year 2014 Shareholder Letter, available on the company website. Tesla management will hold a live question & answer webcast at 2:30pm Pacific Time (5:30pm Eastern Time) to discuss the Company’s financial and business results and outlook."
Driving Range for the Model S Family,"JB Straubel, Chief Technical Officer, December 30, 2014","As the Model S family has expanded over time it has become more relevant to compare range from one variant to another with a consistent set of assumptions so our customers can know what to expect and make the best decision to fit their needs. This can be a bit difficult since the background test methodology and standards from the US EPA are evolving over time. There are also many customer vehicle configuration choices, both before and after purchase, that can affect range as much as or more than the vehicle platform choice itself."
Roadster 3.0,"The Tesla Team, December 26, 2014","Battery technology has continued a steady improvement in recent years, as has our experience in optimizing total vehicle efficiency through Model S development. We have long been excited to apply our learning back to our first vehicle, and are thrilled to do just that with the prototype Roadster 3.0 package. It consists of three main improvement areas."
Battery Swap Pilot Program,"The Tesla Team, December 19, 2014","At an event in Los Angeles last year, we showcased battery swap technology to demonstrate that it's possible to replace a Model S battery in less time than it takes to fill a gas tank. This technology allows Model S owners in need of a battery charge the choice of either fast or free. The free long distance travel option is already well covered by our growing Supercharger network, which is now at 312 stations with more than 1,748 Superchargers worldwide. They allow Model S drivers to charge at 400 miles per hour. Now we're starting exploratory work on the fast option."
50 States in Model S,"The Tesla Team, November 25, 2014","Lita Elbertson had never seen a lake before she decided join her friend Michael Fritts on an epic cross-country tour of the United States. In fact, the Hawaii resident hadn’t even seen a duck. Or a Model S. There are probably more straightforward ways to make contact with a duck, but few are more fun than driving a premium electric sedan to every state in the United States. That’s what Elbertson and Fritts, a Model S owner from Upstate New York, set out to do late this summer. "
The House Always Wins,"Elon Musk, CEO, November 21, 2014","There have been several articles recently implying that Tesla, through clever machinations, maneuvered Nevada into providing an overly large incentive package for the Gigafactory. I love backhanded compliments as much as the next person, but this is untrue."
Factory Upgrade,"The Tesla Team, November 17, 2014","Tesla’s pace of vehicle production has always been intense, but it has long been obvious that we would have to scale up quickly. Last year, we produced more than 22,000 cars; this year we’re on track to build about 35,000. By the end of 2015, we will have increased production by another 50 percent. With Model X on the horizon, Dual Motor Model S now in production, and increasing global demand, we recently decided to temporarily pause production in order to increase capacity at the Tesla Factory in Fremont, California. "
Model S Achieves Euro NCAP 5-Star Safety Rating,"The Tesla Team, November 5, 2014",We’re pleased to announce that the Tesla Model S has received a maximum-possible 5-star safety rating from the European New Car Assessment Programme (Euro NCAP).
Significantly Improved Leasing for a Tesla with US Bank,"Elon Musk, CEO, October 25, 2014","Tesla is pleased to announce that US Bank, which has a much lower cost of capital than us, is now offering very compelling leasing for Tesla buyers in the United States. This will lower monthly lease payments by as much as 25% on a new Model S. Detailed info here."
Tesla Announces Release Date for Third Quarter Financial Results,"October 21, 2014","PALO ALTO, Calif., October 20, 2014 - Tesla announces that it will post its financial results for the third quarter ended September 30, 2014, after market close on Wednesday, November 5, 2014. At that time, Tesla will issue a brief advisory release containing a link to the Q3 2014 Shareholder Letter, available on the company website. Tesla management will hold a live question & answer webcast at 2:30pm Pacific Time (5:30pm Eastern Time) to discuss the Company's financial and business results and outlook."
A Raw Deal in Michigan,"The Tesla Motors Team, October 16, 2014","On October 1, the Michigan Automobile Dealers Association succeeded in passing a bill that is harmful to consumers. The bill, HB5606, was originally a single amendment to existing law designed to ensure that the car dealers can tack additional fees on to the purchase price for all vehicles (from any manufacturer) sold in Michigan. Such fees have a controversial history, are generally regarded with skepticism and have been the subject of consumer concern in other states."
Dual Motor Model S and Autopilot,"The Tesla Team, October 10, 2014","Yesterday, we unveiled the world’s first dual electric motor production car and announced that new safety and autopilot hardware is standard on every new Model S."
Software v6.0,"The Tesla Team, September 19, 2014","Today, we’re announcing details about new software being delivered to Model S customers through an over-the-air update. The new features further personalize the Model S ownership experience and help make the car smarter about owners’ individual preferences. This is the latest in a series of software updates issued since we launched Model S in 2012, enabling new features such as hill start assist, smart suspension controls, and energy saving sleep mode."
Nevada Selected As Official Site for Tesla Battery Gigafactory,"September 4, 2014","CARSON CITY, NV – Governor Brian Sandoval and Elon Musk, Chairman and CEO of Tesla Motors, announced today that Nevada has been selected as the official site for the Tesla Gigafactory. “This is great news for Nevada. Tesla will build the world’s largest and most advanced battery factory in Nevada which means nearly one hundred billion dollars in economic impact to the Silver State over the next twenty years. I am grateful that Elon Musk and Tesla saw the promise in Nevada."
Infinite Mile Warranty,"Elon Musk, CEO, August 15, 2014","The Tesla Model S drive unit warranty has been increased to match that of the battery pack. That means the 85 kWh Model S, our most popular model by far, now has an 8 year, infinite mile warranty on both the battery pack and drive unit. There is also no limit on the number of owners during the warranty period."
Juniper Networks' Robyn Denholm to Join Tesla's Board of Directors,"August 6, 2014","PALO ALTO, CA, August 6, 2014 – Tesla today announced that Robyn Denholm, Executive Vice President, Chief Financial and Operations Officer at Juniper Networks, Inc., has been appointed to its board of directors, effective August 11, 2014. "
Panasonic and Tesla Sign Agreement for the Gigafactory,"July 30, 2014","OSAKA, Japan / PALO ALTO, USA, July 31, 2014 – Panasonic Corporation and Tesla Motors, Inc. have signed an agreement that lays out their cooperation on the construction of a large-scale battery manufacturing plant in the United States, known as the Gigafactory."
First Model S Deliveries in Hong Kong,"The Tesla Motors Team, July 26, 2014","Hundreds of Tesla customers and enthusiasts came together at Hong Kong’s Kai Tak Cruise Terminal on Wednesday to celebrate the arrival of the first right hand drive Model S’s in Asia. On hand to deliver eight Model S keys and introduce Hong Kong’s first two Supercharging sites was Jerome Guillen, Tesla’s Vice President of World Wide Sales and Service."
A Supercharging Milestone,"The Tesla Team, July 10, 2014","In June, Tesla’s Supercharger network passed a charging milestone, delivering more than 1 GWh of energy to Model S vehicles in a single month. That energy accounts for a collective 3.7 million miles driven, 168,000 gallons of gas saved, and 4.2 million pounds of carbon dioxide offset. That’s like driving to the moon and back seven and a half times, and nixing a day’s worth of CO2 from 73,684 Americans. Tesla’s Supercharger network is now the largest fast-charging network on the planet. It’s also the world’s fastest-growing charging network."
All Our Patent Are Belong To You,"Elon Musk, CEO, June 12, 2014","Yesterday, there was a wall of Tesla patents in the lobby of our Palo Alto headquarters. That is no longer the case. They have been removed, in the spirit of the open source movement, for the advancement of electric vehicle technology."
Now Model S Has a British Accent,"The Tesla Team, June 11, 2014",We broke out the champagne on a sunny Saturday in London over the weekend to deliver the first right hand drive Model S’s to customers in the United Kingdom. Tesla CEO Elon Musk was on hand at The Crystal in East London to pass the keys to the first five owners (including Fifty Shades of Grey author E.L. James).
Right Hand Drive Model S Arrives in the UK,"June 9, 2014","Tesla CEO Elon Musk delivered five new cars to customers in London today at an event to mark the arrival of right hand drive (RHD) Model S in the UK. The occasion marks the beginning of a planned rapid expansion in the country in the coming two years.Today, Tesla operates a store and a service centre in London. By the end of 2014, however, customers will be able to visit Tesla stores and service centres across the UK. Tesla will also continue to hold test-drive events around the country.RHD MODEL S IN THE UK"
The Slipperiest Car on the Road,"The Tesla Team, May 28, 2014","Fast, electric, safe — and a total ""drag queen."" Car and Driver magazine has found that the Model S is one of the ""slipperiest"" cars on the road (and yes, that's a good thing). In its latest issue, Car and Driver has published a comparison of five cars with low drag areas. Using a wind tunnel to determine each car's drag and lift properties, the magazine declared Model S the winner, beating out the Toyota Prius, the Nissan LEAF, the Chevy Volt, and the Mercedes-Benz CLA250."
An Octogenarian Couple Shows Age is No Barrier for a Model S,"The Tesla Team, May 19, 2014","Chet Brisco was delighted when his wife Robin surprised him on his 85th birthday with a brand new Porsche Panamera. She had arranged it all perfectly: the unexpected day trip, the blindfold, the big reveal. Chet, a lifelong auto enthusiast, loved his new car. But it didn’t take long for him to start worrying about its effect on the environment. The thing drank a lot of gas.Those concerns ultimately led Chet to selling the Panamera. He got a Model S, which has zero emissions, instead. He had bought it on the spot after a test drive in Newport Beach, CA."
Trouble in Missouri,"The Tesla Motors Team, May 8, 2014","We have just become aware of a last-minute attempt by the auto dealers lobby, via pressure on legislators, to bar Tesla from selling its vehicles direct to consumers in the state. This extraordinary maneuver amounts to a sneak attack to thwart due process and hurt consumer freedom in Missouri."
Tesla Announces 2014 Annual Stockholder Meeting and Public Webcast,"Press Release, May 2, 2014","PALO ALTO, Calif., May 2, 2014 – Tesla announces details about its 2014 Annual Stockholder Meeting and Public Webcast.Tesla stockholders as of April 10,2014 are cordially invited to attend the 2014 annual meeting of stockholders of Tesla, which will be held on Tuesday, June 3, 2014 at 11:00 a.m. PDT at the Computer History Museum, 1401 North Shoreline Boulevard, Mountain View, California 94043. The meeting will also be webcast live to the public via the Internet at teslamotors.com/2014shareholdermeeting."
Behind the Scenes of the Cross Country Rally: Episode Three,"The Tesla Team, April 29, 2014","The final installment our Cross Country Rally film series finds Team Tesla in fragments. A gasoline support vehicle had broken down in the middle of the night in South Dakota, leaving a third of the team stranded. After hustling to the airport at Sioux Falls, the group finds its way to a Tesla service center in Highland Park, IL, where it reunites with the rest of the team and gets set for the last leg of the journey to New York City."
100 Supercharger Stations,"The Tesla Team, April 24, 2014","This morning in Hamilton, New Jersey, we cut the ribbon on our 100th Supercharger station. A crowd of more than 100 people, including New Jersey state legislators, Tesla executives, and supporters, marked the milestone moment in the sunshine at the location next to a popular shopping center.“What a great turn out!”, New Jersey Assemblyman Timothy Eustace told the crowd of more than 100 people. “We are zealots for electric cars, and we welcome and thank you for being here.”"
A Tesla Superowner in the Arctic Circle,"The Tesla Team, April 23, 2014","Narvik, a town of about 18,000 people, sits 220km inside the Arctic Circle. From the top of the ski mountain behind the city, you can look out and see nothing but ocean, or, to put it more precisely, the breathtaking Ofotfjord. Narvik is one of the northernmost cities in the world, first inhabited largely because of its port, which remains ice free only because of the warm currents of the Gulf Stream. Here, the mean annual temperature is a frosty 3.8 degrees Celsius."
Behind the Scenes of the Cross Country Rally: Episode Two,"The Tesla Team, April 18, 2014","Two electrics cars, 3,400 miles, and 76 hours – all in the middle of winter. Tesla’s Cross Country Rally left Los Angeles at midnight on January 30 and headed towards New York in an attempt to set a Guinness World Record for an electric vehicle traveling across the United States."
Tesla Motors Announces Date for First Quarter 2014 Financial Results,"April 17, 2014","PALO ALTO, Calif., April 18, 2014 – Tesla announced today that it will post its financial results for the first quarter ended March 31, 2014, after market close on Wednesday, May 7, 2014. At that time, Tesla will issue a brief advisory release via Marketwired containing a link to the first quarter 2014 Shareholder Letter, available on the company website. Tesla management will hold a live question & answer webcast at 2:30pm Pacific Time (5:30pm Eastern Time) to discuss the Company’s financial and business results and outlook."
Behind the Scenes of the Cross Country Rally: Episode One,"The Tesla Team, April 10, 2014","When it comes to driving across the United States, certain times are more difficult than others. The middle of winter is one such time. Nevertheless, Tesla’s Cross Country Rally team wasn’t deterred from attempting to set a Guinness World Record for an electric vehicle traveling across the U.S."
When Life Gives You Lemons...,"The Tesla Team, April 9, 2014","We were taken by surprise by a lemon law claim recently filed against Tesla by a Wisconsin lawyer, describing himself as the ""Lemon Law King"", who says that we ignored his client's three demands for a buy-back after alleged problems with a Model S."
Tesla Business Leasing,"The Tesla Motors Team, April 8, 2014","A year ago, Tesla introduced a Resale Value Guarantee that gives customers the option to return their Model S after three years for a known value. When combined with a car loan provided by Tesla’s banking partners, this program gives customers the functional equivalent of a lease – and, because they own the car, they also get the benefit of the $7,500 federal electric vehicle tax credit. Many of our customers have chosen to take advantage of the Resale Value Guarantee."
Pet Driving Cars,"Tesla Motors Autopilot Team, April 1, 2014","Based on an in-depth study of YouTube videos, Tesla has decided against self-driving cars, because pets can do so much better and people already have them.We looked at cat-driving cars, but they had an inexplicable propensity to drive off a cliff. Repeated experiments by the SNL research group confirmed that it is not a good idea to let your cat drive your car, no matter how convincing he or she may be."
Tesla Adds Titanium Underbody Shield and Aluminum Deflector Plates to Model S,"Elon Musk, Chairman, Product Architect & CEO, March 28, 2014","In 2013, two extremely unusual Model S collisions resulted in underbody damage that led to car fires. These incidents, unfortunately, received more national headlines than the other 200,000 gasoline car fires that happened last year in North America alone. In both cases, the occupants walked away unharmed, thanks to the car’s safety features. The onboard computer warned the occupants to exit the vehicles, which they did well before any fire was noticeable."
To the People of New Jersey,"Elon Musk, Chairman, Product Architect & CEO, March 14, 2014","On Tuesday, under pressure from the New Jersey auto dealer lobby to protect its monopoly, the New Jersey Motor Vehicle Commission, composed of political appointees of the Governor, ended your right to purchase vehicles at a manufacturer store within the state. Governor Christie had promised that this would be put to a vote of the elected state legislature, which is the appropriate way to change the law."
Defending Innovation and Consumer Choice in New Jersey,"The Tesla Motors Team, March 11, 2014","Since 2013, Tesla Motors has been working constructively with the New Jersey Motor Vehicle Commission (NJMVC) and members of Governor Christie’s administration to defend against the New Jersey Coalition of Automotive Retailers’ (NJ CAR) attacks on Tesla’s business model and the rights of New Jersey consumers. Until yesterday, we were under the impression that all parties were working in good faith."
Tesla Commits To Further Expansion In Europe,"March 4, 2014","GENEVA, Switzerland – In order to serve a growing customer base in Europe, Tesla will open more than 30 new service centers and stores across the continent, the company announced today at the Geneva Motor Show. Tesla will also continue rapidly expanding its Supercharger network, allowing Model S drivers to travel long distances across Europe for free.The retail, service, and Supercharger expansions come as Tesla dials up its commitment to Europe, which continues to be a priority market for the company."
Gigafactory,"Tesla Motors, February 26, 2014","As we at Tesla reach for our goal of producing a mass market electric car in approximately three years, we have an opportunity to leverage our projected demand for lithium ion batteries to reduce their cost faster than previously thought possible. In cooperation with strategic battery manufacturing partners, we’re planning to build a large scale factory that will allow us to achieve economies of scale and minimize costs through innovative manufacturing, reduction of logistics waste, optimization of co-located processes and reduced overhead."
Tesla Announces $1.6 Billion Convertible Notes Offering,"February 26, 2014","PALO ALTO, Calif., February 26, 2014 – Tesla announced today an offering of $1.6 billion aggregate principal amount of convertible senior notes in an underwritten registered public offering. Of the total offering, Tesla will offer $800 million aggregate principal amount of convertible senior notes due 2019 and $800 million aggregate principal amount of convertible senior notes due 2021."
Cross Country Rally: By the Numbers,"The Tesla Team, February 3, 2014","On Sunday morning, the Tesla Cross Country Rally team completed its record setting trip across the US. We brought you daily updates from the road on our blog. Now, we’re bringing you the numbers."
Cross Country Rally: Across the Finish Line,"The Tesla Team, February 2, 2014","At 7:30am today, two Tesla Model S sedans rolled quietly to a stop outside New York's City Hall to set a record speed time for an electric vehicle crossing the United States. The team had just driven the two cars across the U.S. while relying only on Superchargers for energy. Not only did the Cross Country Rally team manage the trip from Los Angeles to New York City in just 76 and a half hours, it also recorded the lowest charge time for an electric vehicle traveling across the country – a feat that is now being assessed for recognition as a GUINNESS WORLD RECORDS achievement."
Cross Country Rally: Day Three,"The Tesla Team, February 1, 2014","At 10pm on Friday night, with temperatures in the middle of South Dakota kissing zero, the Coast to Coast Rally team experienced its first vehicle breakdown.But it wasn't a Model S. Instead, one of the team's sleeper vans took on a mysterious illness. As it climbed a hill outside the city of Mitchell after a Supercharger stop, the van started to sputter. Even with the foot to the floor, it would only get to 60mph. Soon, it started cutting out completely."
Cross Country Rally: Day Two,"The Tesla Team, January 31, 2014","A headline from this morning's Denver Post: ""Winter storm pounds Front Range overnight.""Tesla's Cross Country Rally team can attest to the veracity of the report. Last night, the crew members and two Model S sedans were subjected to a good old fashioned Colorado dumping. More than 12 inches of snow. Winds up to 60 mph. White-out conditions. Interstate 70 over Vail Pass was closed, then re-opened, then closed again."
Cross Country Rally: Day One,"The Tesla Team, January 30, 2014","At 5.30am on Thursday, January 30, an email came in from JB Straubel, co-founder and chief technical officer of Tesla Motors.""It looks like the send off was exciting,"" he wrote. ""Go go go!"""
Cross Country Rally,"The Tesla Team, January 29, 2014","At midnight tonight, a Tesla Motors team will depart Los Angeles en route to New York City in two Model S sedans to mark the completion of the first cross country Supercharger route. We're aiming to complete the journey within about three days and set a new GUINNESS WORLD RECORDS achievement for lowest charge time for an electric vehicle traveling across the United States."
Tesla Motors Announces Date for Fourth Quarter & Full Year 2013 Financial Results,"January 29, 2014","PALO ALTO, Calif., January 29, 2014 – Tesla announced today that it will post its financial results for the fourth quarter and full year ended December 31, 2013, after market close on Wednesday, February 19, 2014. At that time, Tesla will issue a brief advisory release via Marketwire containing a link to the fourth quarter and full year 2013 Shareholder Letter, available on the company website. Tesla management will hold a live question & answer webcast at 2:30pm Pacific Standard Time (5:30pm Eastern Standard Time) to discuss the Company's financial and business results and outlook."
First Across the US by Supercharger,"The Tesla Team, January 28, 2014","Two days after completing the first ever coast to coast crossing of the United States in a Model S relying only on Superchargers, John Glenney walked into the Tesla factory in Fremont, CA, to a standing ovation."
A Fair Price,"The Tesla Motors Team, January 22, 2014","Today we're launching the Model S online design studio in China and announcing the price of the car. For Chinese customers, the price of the Model S with the premium 85 kWh battery pack is 734k CNY."
Tesla Expands Supercharger Network in Europe,"January 21, 2014","AMSTERDAM, the Netherlands – This week, Tesla officially opens new Supercharger locations connecting the Netherlands, Germany, Switzerland, and Austria. These newly-energized routes will enable Model S customers to enjoy free, convenient, 100 percent electric trips on the German Autobahn and to destinations in the Alps and elsewhere."
Tesla Revenue Expected To Exceed Guidance By 20% In Fourth Quarter,"January 14, 2014","PALO ALTO, Calif. – Tesla sales in the fourth quarter of 2013 were the highest in company history by a significant margin. With almost 6,900 vehicles sold and delivered, Tesla exceeded prior guidance by approximately 20%. A higher than expected number of cars was manufactured as a result of an excellent effort by the Tesla production team and key suppliers, particularly Panasonic.The two key drivers of demand were the superlative safety record of the Model S and great performance under extremely cold conditions.Safety Record"
Tesla Provides Customers with Upgraded Charging Software and Adapter,"January 10, 2014","PALO ALTO, Calif. – A variety of factors such as corrosion, physical damage to receptacles, or inappropriate wiring or installation of electrical outlets can cause higher than normal electrical resistance when using the Universal Mobile Connector (“UMC”) NEMA 14-50 adapters to charge Tesla Model S vehicles. When charging, higher than normal electrical resistance connections to external energy sources may cause excessive heating of the adapter."
NHTSA Reaffirms Model S 5-Star Safety Rating In All Categories For Model Year 2014,"December 23, 2013","PALO ALTO, Calif. – The National Highway Traffic Safety Administration (NHTSA) has reaffirmed the 5-star safety rating of the Tesla Model S overall and in all subcategories for Model Year 2014, confirming the highest safety rating in America. While Tesla is awaiting feedback from NHTSA regarding their investigation of recent fire incidents, the German Federal Motor Transport Authority, Kraftfahrt-Bundesamt (KBA), recently concluded its review of the incidents, finding no manufacturer-related defects or need for further action."
German Federal Motor Transport Authority (Kraftfahrt-Bundesamt) Concludes Review of Model S Incidents,"December 2, 2013","PALO ALTO, Calif. – Tesla received a recent inquiry from the German Federal Motor Transport Authority, Kraftfahrt-Bundesamt (KBA), regarding the Model S post-crash fire incidents in Seattle, Tennessee and Mexico. The KBA is the German authority in charge of motor vehicle regulation. They have the power to initiate and perform investigations, and compel recalls. In response, Tesla provided the KBA with data and additional information regarding each of these incidents."
The Mission of Tesla,"Elon Musk, Chairman, Product Architect & CEO, November 18, 2013","Our goal when we created Tesla a decade ago was the same as it is today: to accelerate the advent of sustainable transport by bringing compelling mass market electric cars to market as soon as possible. If we could have done that with our first product, we would have, but that was simply impossible to achieve for a startup company that had never built a car and that had one technology iteration and no economies of scale."
Tesla Energizes West Coast Supercharger Corridor,"October 30, 2013","PALO ALTO, Calif.-- Tesla Motors today announced the opening of the West Coast Supercharger Corridor, energizing a network of stations that enable Model S owners to travel for free between San Diego, California and Vancouver, British Columbia."
Panasonic and Tesla Reach Agreement to Expand Supply of Automotive-Grade Battery Cells,"October 29, 2013","OSAKA, Japan / PALO ALTO, Calif. -- Panasonic Corporation and Tesla Motors today announced that the two companies have reached an agreement in which Panasonic will expand its supply of automotive-grade lithium-ion battery cells to Tesla. With this agreement, the two companies update and expand their 2011 arrangement to now supply nearly 2 billion cells over the course of four years."
Tesla Hires Apple VP Doug Field to Lead Vehicle Programs,"October 24, 2013","PALO ALTO, Calif.-- Tesla Motors has hired Doug Field to be its Vice President of Vehicle Programs, responsible for driving development of new vehicles. Doug is an accomplished leader and engineer of innovative, high-technology products, most recently serving as Vice President of Mac Hardware Engineering at Apple. Doug led the development of many new products at Apple including the latest MacBook Air, MacBook Pro, and iMac. Doug began his career as an engineer at Ford Motor Company."
Model S Fire,"Elon Musk, Chairman, Product Architect & CEO, October 4, 2013","Earlier this week, a Model S traveling at highway speed struck a large metal object, causing significant damage to the vehicle. A curved section that fell off a semi-trailer was recovered from the roadway near where the accident occurred and, according to the road crew that was on the scene, appears to be the culprit. The geometry of the object caused a powerful lever action as it went under the car, punching upward and impaling the Model S with a peak force on the order of 25 tons."
Tesla Motors Presents Supercharging at IAA and Announces Plans for European Network Expansion,"September 9, 2013","Tesla Motors presents its award winning Model S and revolutionary Supercharger at this year’s Internationale Automobil-Ausstellung(IAA) in Frankfurt. Having begun the first European deliveries of Model S this August in Norway, followed by Germany, Belgium, Denmark, Iceland, Luxembourg, the Netherlands, Spain and Switzerland, IAA is an important platform to showcase Model S to Europe."
Tesla Motors Brings Revolutionary Supercharger to Europe with Launch Across Norway,"August 29, 2013","OSLO, Norway-Tesla Motors (NASDAQ: TSLA) today unveiled its highly anticipated European Supercharger network, energizing stations across Norway that enable Model S owners to conveniently travel for free between cities along well-traveled highways throughout the country."
"Tesla Motors Opens Assembly Plant in Tilburg, Netherlands","August 27, 2013","TILBURG, Netherlands –August 22nd, 2013"
Tesla Model S Achieves Best Safety Rating of Any Car Ever Tested,"August 19, 2013","Palo Alto, CA — Independent testing by the National Highway Traffic Safety Administration (NHTSA) has awarded the Tesla Model S a 5-star safety rating, not just overall, but in every subcategory without exception. Approximately one percent of all cars tested by the federal government achieve 5 stars across the board. NHTSA does not publish a star rating above 5, however safety levels better than 5 stars are captured in the overall Vehicle Safety Score (VSS) provided to manufacturers, where the Model S achieved a new combined record of 5.4 stars."
New retail design store opens in Brussels,"August 19, 2013","BRUSSELS, BELGIUM –Tesla Motors(NASDAQ: TSLA) will open its first retail design store in Belgium, at the vibrant and exclusive shopping street Avenue de la Toison d’Or, in Brussels."
Hyperloop,"Elon Musk, Chairman, Product Architect & CEO, August 12, 2013","When the California “high speed” rail was approved, I was quite disappointed, as I know many others were too. How could it be that the home of Silicon Valley and JPL – doing incredible things like indexing all the world’s knowledge and putting rovers on Mars – would build a bullet train that is both one of the most expensive per mile and one of the slowest in the world? Note, I am hedging my statement slightly by saying “one of”."
Tesla Motors Announces Date for Second Quarter 2013 Financial Results,"July 16, 2013","PALO ALTO, Calif.-- Tesla Motors, Inc. (NASDAQ: TSLA) announced today that it will post its financial results for the second quarter ended June 30, 2013, after market close on Wednesday, August 7, 2013. At that time, Tesla will issue a brief advisory release via Marketwire containing a link to the second quarter 2013 Shareholder Letter, available on the company website. Tesla management will hold a live question & answer (Q&A) webcast at 2:30 p.m. Pacific Daylight Time (5:30 p.m."
Partial Recall,"Elon Musk, Chairman, Product Architect & CEO, June 19, 2013","After a careful examination, we have concluded that some Model S vehicles manufactured between May 10, 2013 and June 8, 2013 may contain a defect. Specifically, the attachment strength of the mounting bracket for the left hand latch of the second row seat could be weaker than intended. This reduces our confidence that the left hand seat back will be properly retained in the event of a crash."
Tesla Motors Announces 2013 Annual Shareholder Meeting Webcast,"June 3, 2013","PALO ALTO, Calif.-- Tesla Motors, Inc. announces the webcast for its 2013 Annual Shareholder Meeting.Dear Tesla Motors Stockholders:"
"Tesla Dramatically Expands Supercharger Network, Delivering Convenient, Free Long Distance Driving Throughout U.S. And Canada","May 30, 2013","PALO ALTO, Calif.-- Tesla Motors today announced significant expansion of the Tesla Supercharger network. Supercharging enables Tesla Model S drivers to travel long distances, for free, indefinitely."
Media Advisory | Tesla Motors Supercharger Announcement,"May 30, 2013","PALO ALTO, Calif.-- Tesla Motors, Inc. will hold a conference call on May 30, 2013 at 10:30 AM Pacific Time (1:30 PM Eastern Time) for members of the media, to make an announcement about the Tesla Supercharger Network. Following remarks from Elon Musk, Tesla Motors co-founder and CEO, media is invited to participate in a question and answer session. "
Tesla Repays Department of Energy Loan Nine Years Early,"May 22, 2013","PALO ALTO, Calif.-- Tesla Motors announced that it has paid off the entire loan awarded to the company by the Department of Energy in 2010. In addition to payments made in 2012 and Q1 2013, today’s wire of almost half a billion dollars ($451.8M) repays the full loan facility with interest. Following this payment, Tesla will be the only American car company to have fully repaid the government."
Tesla Motors Announces Offerings of Common Stock and Convertible Senior Notes,"May 15, 2013","Palo Alto, CA – May 15, 2013 — Tesla Motors, Inc. (NASDAQ: TSLA) announced today offerings of 2,703,027 shares of common stock and $450 million aggregate principal amount of convertible senior notes due 2018 in concurrent underwritten registered public offerings. In addition, Tesla has granted the underwriters a 30-day option to purchase up to an additional 405,454 shares of common stock and $67.5 million in aggregate principal amount of the notes."
Tesla Motors Releases First Quarter 2013 Financial Results,"May 8, 2013","PALO ALTO, Calif.-- Tesla Motors today released its financial results for the first quarter ended March 31, 2013, by posting the current Shareholder Letter on its website. Please visit the investor relations section of the Tesla Motors website at ir.teslamotors.com to view the letter and results."
Tesla Hires Aston Martin’s Vehicle Engineering Leader,"May 6, 2013","PALO ALTO, Calif.-- Tesla has hired Aston Martin’s Chief Engineer of Vehicle Engineering, Chris Porritt, to be its Vice President of Vehicle Engineering. Chris is a world-class leader and automotive engineer who established Aston Martin’s Vehicle Engineering team from the ground up and used his innovative approach as Chief Engineer for Aston Martin’s One-77 supercar. The One-77 was best known for its advanced structural design combined with cutting edge active suspension and aerodynamics."
Tesla Improves Financing Product with Best Resale Value Guarantee and Lower Monthly Payments,"May 3, 2013","PALO ALTO, Calif.-- Tesla Motors announced today that it is raising the Model S resale value guarantee to be the highest of any premium sedan brand made in volume (excludes rare, low volume or limited edition vehicles). Buying a Model S through the Tesla financing offering now comes with a guarantee that the resale value will be higher than that of BMW, Audi, Mercedes, Lexus or Jaguar."
Media Advisory | Tesla Motors Supercharger Announcement,"May 2, 2013","PALO ALTO, Calif.-- Tesla Motors, Inc. (NASDAQ: TSLA) will hold a conference call on May 3, 2013 at 10:30 AM Pacific Time (1:30 PM Eastern Time) for members of the media, to make an announcement. Following remarks from Elon Musk, Tesla Motors co-founder and CEO, media is invited to participate in a question and answer session."
Creating the World’s Best Service and Warranty Program,"Elon Musk, Chairman, Product Architect & CEO, April 26, 2013","The best way to experience service is, of course, not to experience service. If your car does need service, then it should be swapped with a car that is ideally better in some or many ways. To this end, Tesla is building a fleet of top of the line Model S loaners. These will not be our basic model – they will be state of the art with all the best features and options."
